Month,Mdate,Sensor_ID,Hourly_Counts
April,1,1,4332
April,1,2,3259
April,1,3,3958
April,1,4,4466
April,1,5,3608
April,1,6,4679
April,1,7,2258
April,1,8,2246
April,1,9,2248
April,1,10,896
April,1,11,1012
April,1,12,3008
April,1,14,1557
April,1,17,2101
April,1,18,1295
April,1,19,1533
April,1,20,851
April,1,21,2567
April,1,22,10692
April,1,23,1901
April,1,24,5852
April,1,25,5059
April,1,26,3125
April,1,27,920
April,1,28,2803
April,1,29,1400
April,1,30,1280
April,1,31,1540
April,1,34,793
April,1,35,7361
April,1,36,1224
April,1,37,768
April,1,39,756
April,1,40,1213
April,1,41,5873
April,1,42,706
April,1,43,407
April,1,44,254
April,1,45,3023
April,1,46,492
April,1,47,4500
April,1,48,1280
April,1,49,1651
April,1,50,1285
April,1,51,1327
April,1,52,1342
April,1,53,2797
April,1,54,622
April,1,55,6984
April,1,56,1993
April,1,57,1882
April,1,58,3315
April,1,59,654
April,1,61,1788
April,1,62,1248
April,1,63,2366
April,1,65,2020
April,2,1,3182
April,2,2,2884
April,2,3,3268
April,2,4,3859
April,2,5,2574
April,2,6,4196
April,2,7,1066
April,2,8,1286
April,2,9,1902
April,2,10,797
April,2,11,279
April,2,12,1139
April,2,14,1127
April,2,17,1759
April,2,18,1058
April,2,19,1253
April,2,20,728
April,2,21,887
April,2,22,8765
April,2,23,1524
April,2,24,5967
April,2,25,2798
April,2,26,3620
April,2,27,967
April,2,28,1871
April,2,29,690
April,2,30,930
April,2,31,1133
April,2,34,428
April,2,35,4203
April,2,36,1106
April,2,37,780
April,2,39,602
April,2,40,1059
April,2,41,5329
April,2,42,447
April,2,43,257
April,2,44,191
April,2,45,2508
April,2,46,347
April,2,47,3506
April,2,48,1388
April,2,49,1542
April,2,50,922
April,2,51,1095
April,2,52,1163
April,2,53,2464
April,2,54,489
April,2,55,5904
April,2,56,1753
April,2,57,1353
April,2,58,2693
April,2,59,391
April,2,61,1355
April,2,62,1148
April,2,63,2074
April,2,65,1332
April,3,1,4433
April,3,2,3339
April,3,3,4143
April,3,4,4750
April,3,5,3461
April,3,6,4732
April,3,7,1996
April,3,8,2045
April,3,9,2135
April,3,10,876
April,3,11,830
April,3,12,2529
April,3,14,1566
April,3,17,2153
April,3,18,1218
April,3,19,1809
April,3,20,763
April,3,21,2844
April,3,22,11164
