,latitude,longitude,Month,Mdate,Hourly_Counts
1,-37.8134944,144.96515324,April,1.0,4332.0
1,-37.8134944,144.96515324,April,2.0,3182.0
1,-37.8134944,144.96515324,April,3.0,4433.0
1,-37.8134944,144.96515324,April,4.0,2766.0
1,-37.8134944,144.96515324,April,5.0,2655.0
1,-37.8134944,144.96515324,April,6.0,3571.0
1,-37.8134944,144.96515324,April,7.0,3269.0
1,-37.8134944,144.96515324,April,8.0,3920.0
1,-37.8134944,144.96515324,April,9.0,4578.0
1,-37.8134944,144.96515324,April,10.0,2090.0
1,-37.8134944,144.96515324,April,11.0,3219.0
1,-37.8134944,144.96515324,April,12.0,2465.0
1,-37.8134944,144.96515324,April,13.0,3289.0
1,-37.8134944,144.96515324,April,14.0,4441.0
1,-37.8134944,144.96515324,April,15.0,4148.0
1,-37.8134944,144.96515324,April,16.0,4162.0
1,-37.8134944,144.96515324,April,17.0,4345.0
1,-37.8134944,144.96515324,April,18.0,3776.0
1,-37.8134944,144.96515324,April,19.0,3918.0
1,-37.8134944,144.96515324,April,20.0,4010.0
1,-37.8134944,144.96515324,April,21.0,4484.0
1,-37.8134944,144.96515324,April,22.0,4161.0
1,-37.8134944,144.96515324,April,23.0,4398.0
1,-37.8134944,144.96515324,April,24.0,5409.0
1,-37.8134944,144.96515324,April,25.0,4269.0
1,-37.8134944,144.96515324,April,26.0,4085.0
1,-37.8134944,144.96515324,April,27.0,5098.0
1,-37.8134944,144.96515324,April,28.0,5012.0
1,-37.8134944,144.96515324,April,29.0,3766.0
1,-37.8134944,144.96515324,April,30.0,4821.0
1,-37.8134944,144.96515324,March,1.0,26263.0
1,-37.8134944,144.96515324,March,2.0,26315.0
1,-37.8134944,144.96515324,March,3.0,26329.0
1,-37.8134944,144.96515324,March,4.0,26772.0
1,-37.8134944,144.96515324,March,5.0,25622.0
1,-37.8134944,144.96515324,March,6.0,31087.0
1,-37.8134944,144.96515324,March,7.0,29275.0
1,-37.8134944,144.96515324,March,8.0,28123.0
1,-37.8134944,144.96515324,March,9.0,24693.0
