Year,Month,Mdate,Sensor_ID,Hourly_Counts
2020,March,1,53,190
2020,March,1,4,736
2020,March,1,17,54
2020,March,1,18,27
2020,March,1,2,228
2020,March,1,1,340
2020,March,1,3,1081
2020,March,1,15,509
2020,March,1,9,20
2020,March,1,10,31
2020,March,1,12,74
2020,March,1,11,18
2020,March,1,8,27
2020,March,1,7,35
2020,March,1,5,1089
2020,March,1,6,747
2020,March,1,14,365
2020,March,1,26,261
2020,March,1,24,354
2020,March,1,23,142
2020,March,1,25,611
2020,March,1,21,831
2020,March,1,20,906
2020,March,1,19,607
2020,March,1,22,955
2020,March,1,28,528
2020,March,1,31,260
2020,March,1,30,243
2020,March,1,34,67
2020,March,1,39,59
2020,March,1,37,91
2020,March,1,40,54
2020,March,1,36,455
2020,March,1,29,188
2020,March,1,42,30
2020,March,1,43,17
2020,March,1,44,9
2020,March,1,35,871
2020,March,1,45,510
2020,March,1,41,1085
2020,March,1,46,24
2020,March,1,47,438
2020,March,1,48,89
2020,March,1,49,139
2020,March,1,50,74
2020,March,1,51,48
2020,March,1,52,523
2020,March,1,54,31
2020,March,1,55,556
2020,March,1,56,206
2020,March,1,57,78
2020,March,1,58,277
2020,March,1,59,0
2020,March,1,61,152
2020,March,1,62,124
2020,March,1,63,579
2020,March,1,64,16
2020,March,1,4,437
2020,March,1,17,68
2020,March,1,18,51
2020,March,1,53,157
2020,March,1,2,147
2020,March,1,1,253
2020,March,1,3,743
2020,March,1,15,275
2020,March,1,9,30
2020,March,1,10,17
2020,March,1,12,43
2020,March,1,11,8
2020,March,1,8,12
2020,March,1,7,23
2020,March,1,5,461
2020,March,1,6,485
2020,March,1,14,236
2020,March,1,26,174
2020,March,1,24,225
2020,March,1,23,92
2020,March,1,25,417
2020,March,1,21,858
2020,March,1,20,628
2020,March,1,19,418
2020,March,1,22,779
2020,March,1,28,289
2020,March,1,31,173
2020,March,1,30,97
2020,March,1,34,29
2020,March,1,39,28
2020,March,1,37,35
2020,March,1,40,47
2020,March,1,36,332
2020,March,1,29,58
2020,March,1,42,14
2020,March,1,43,27
2020,March,1,44,21
2020,March,1,35,428
2020,March,1,45,418
2020,March,1,41,713
2020,March,1,46,16
2020,March,1,47,337
2020,March,1,48,48
2020,March,1,49,101
2020,March,1,50,28
2020,March,1,51,47
2020,March,1,52,307
2020,March,1,54,25
2020,March,1,55,298
2020,March,1,56,113
2020,March,1,57,28
2020,March,1,58,182
2020,March,1,59,0
2020,March,1,61,98
2020,March,1,62,91
2020,March,1,63,515
2020,March,1,64,10
2020,March,1,4,323
2020,March,1,17,31
2020,March,1,18,16
2020,March,1,53,125
2020,March,1,2,117
2020,March,1,1,118
2020,March,1,3,477
2020,March,1,15,192
2020,March,1,9,28
2020,March,1,10,18
2020,March,1,12,21
2020,March,1,11,1
2020,March,1,8,7
2020,March,1,7,14
2020,March,1,5,282
2020,March,1,6,370
2020,March,1,14,190
2020,March,1,26,150
2020,March,1,24,158
2020,March,1,23,50
2020,March,1,25,224
2020,March,1,21,532
2020,March,1,20,248
2020,March,1,19,235
